,0,1
0,0.0,0.0
1,1.0,3.23866401224595e-10
2,2.0,6.455412526939953e-10
3,3.0,9.655117717129473e-10
4,4.0,1.283403296744876e-09
5,5.0,1.599469049243512e-09
6,6.0,1.913889749719284e-09
7,7.0,2.226979273660286e-09
8,8.0,2.538763002993274e-09
9,9.0,2.849269692800164e-09
10,10.0,3.15900488805415e-09
11,11.0,3.467540646301452e-09
12,12.0,3.774705766432654e-09
13,13.0,4.081045260810028e-09
14,14.0,4.3862814365191984e-09
15,15.0,4.690010261129346e-09
16,16.0,4.99255456174595e-09
17,17.0,5.294262923875984e-09
18,18.0,5.595426083086691e-09
19,19.0,5.895852610517722e-09
20,20.0,6.195347236097365e-09
21,21.0,6.493468228776964e-09
22,22.0,6.7898377968278206e-09
23,23.0,7.08457996440658e-09
24,24.0,7.377613648164848e-09
25,25.0,7.669293506591945e-09
26,26.0,7.95983275292609e-09
27,27.0,8.249451826489419e-09
28,28.0,8.53810361906292e-09
29,29.0,8.82541038580058e-09
30,30.0,9.111602091175218e-09
31,31.0,9.396777060551508e-09
32,32.0,9.680852616820635e-09
33,33.0,9.963859307192144e-09
34,34.0,1.024564411038408e-08
35,35.0,1.0525953108867222e-08
36,36.0,1.0804866698287179e-08
37,37.0,1.108285621512194e-08
38,38.0,1.136002032255332e-08
39,39.0,1.16359419099351e-08
40,40.0,1.191044955581484e-08
41,41.0,1.218377500954688e-08
42,42.0,1.24559140998242e-08
43,43.0,1.272672889359778e-08
44,44.0,1.2996188485503261e-08
45,45.0,1.3264580542041802e-08
46,46.0,1.353176956995166e-08
47,47.0,1.379777790986974e-08
48,48.0,1.406292716684606e-08
49,49.0,1.432704985911078e-08
50,50.0,1.4589905643485217e-08
51,51.0,1.48515056329188e-08
52,52.0,1.5112407370483278e-08
53,53.0,1.53724691221783e-08
54,54.0,1.563140372731316e-08
55,55.0,1.588884609132526e-08
56,56.0,1.614456065611564e-08
57,57.0,1.639915832101574e-08
58,58.0,1.665280146959518e-08
59,59.0,1.690544171229564e-08
60,60.0,1.7157195920317542e-08
61,61.0,1.7408154495643942e-08
62,62.0,1.765812889428866e-08
63,63.0,1.790702153108942e-08
64,64.0,1.8155088701368702e-08
65,65.0,1.840215326281708e-08
66,66.0,1.8647810094242376e-08
67,67.0,1.889208126561732e-08
68,68.0,1.9135178542850177e-08
69,69.0,1.937700558517198e-08
70,70.0,1.961772488346706e-08
71,71.0,1.9857517931216977e-08
72,72.0,2.0096387002111618e-08
73,73.0,2.033437070538172e-08
74,74.0,2.0571508585433743e-08
75,75.0,2.0808109387236536e-08
76,76.0,2.104361789177792e-08
77,77.0,2.1277651058553057e-08
78,78.0,2.1510483588182257e-08
79,79.0,2.1742130432870522e-08
80,80.0,2.1972784027709556e-08
81,81.0,2.2202487916870697e-08
82,82.0,2.24314390334932e-08
83,83.0,2.26595618145251e-08
84,84.0,2.2886449825800642e-08
85,85.0,2.3112183610553757e-08
86,86.0,2.3337049518834658e-08
87,87.0,2.3561055277109098e-08
88,88.0,2.378446304073658e-08
89,89.0,2.4007376010092482e-08
90,90.0,2.422928253800434e-08
91,91.0,2.444992500649468e-08
92,92.0,2.46699168727712e-08
93,93.0,2.488891061050786e-08
94,94.0,2.5106053929936e-08
95,95.0,2.532227138177124e-08
96,96.0,2.5537696126056703e-08
97,97.0,2.575196495590404e-08
98,98.0,2.5965519632889655e-08
99,99.0,2.617815533491742e-08
100,100.0,2.638963525801818e-08
101,101.0,2.660038760193048e-08
102,102.0,2.681032881316344e-08
103,103.0,2.701913676079606e-08
104,104.0,2.7226794728028282e-08
105,105.0,2.7433531872415337e-08
106,106.0,2.763958411756928e-08
107,107.0,2.7844649358708642e-08
108,108.0,2.80486284389681e-08
109,109.0,2.825157558302678e-08
110,110.0,2.845372277778626e-08
111,111.0,2.86551029215427e-08
112,112.0,2.885577870859486e-08
113,113.0,2.905614105065746e-08
114,114.0,2.925596108280352e-08
115,115.0,2.9454753110306902e-08
116,116.0,2.965263941007304e-08
117,117.0,2.984984863521996e-08
118,118.0,3.0046147241024516e-08
119,119.0,3.0241457884464123e-08
120,120.0,3.043593928858464e-08
121,121.0,3.062948404001506e-08
122,122.0,3.082230384892872e-08
123,123.0,3.101477799697062e-08
124,124.0,3.120693825701782e-08
125,125.0,3.139858396929068e-08
126,126.0,3.1589420046404125e-08
127,127.0,3.177930909632204e-08
128,128.0,3.1968657912615294e-08
129,129.0,3.215757544933594e-08
130,130.0,3.2345821872973606e-08
131,131.0,3.253343346206126e-08
132,132.0,3.272045169620186e-08
133,133.0,3.290707178123064e-08
134,134.0,3.3092919526129964e-08
135,135.0,3.32779910076093e-08
136,136.0,3.346235347366278e-08
137,137.0,3.364583824893652e-08
138,138.0,3.382845243591158e-08
139,139.0,3.401038655421156e-08
140,140.0,3.419160391428196e-08
141,141.0,3.4371964056186395e-08
142,142.0,3.455191507661376e-08
143,143.0,3.47313455677289e-08
144,144.0,3.490993279623596e-08
145,145.0,3.508774451835328e-08
146,146.0,3.526496380426998e-08
147,147.0,3.5440875799637804e-08
148,148.0,3.5615463272083503e-08
149,149.0,3.578965626950598e-08
150,150.0,3.596367450339262e-08
151,151.0,3.613751097831426e-08
152,152.0,3.631083472211118e-08
153,153.0,3.6483154485230916e-08
154,154.0,3.665470109381756e-08
155,155.0,3.682560712411218e-08
156,156.0,3.6995690017384884e-08
157,157.0,3.716497107742988e-08
158,158.0,3.7333512629447096e-08
159,159.0,3.7501155241355136e-08
160,160.0,3.766780560969004e-08
161,161.0,3.783356736957584e-08
162,162.0,3.799837648552736e-08
163,163.0,3.816260611781774e-08
164,164.0,3.832642828274436e-08
165,165.0,3.848979849940318e-08
166,166.0,3.865268865628346e-08
167,167.0,3.881494947445022e-08
168,168.0,3.8976781517391235e-08
169,169.0,3.9138124445113355e-08
170,170.0,3.929862621383218e-08
171,171.0,3.94581924164704e-08
172,172.0,3.9617059839879184e-08
173,173.0,3.9775220118205044e-08
174,174.0,3.9932416498176204e-08
175,175.0,4.008908121022276e-08
176,176.0,4.02451367656297e-08
177,177.0,4.040041206923518e-08
178,178.0,4.0554945855644077e-08
179,179.0,4.070874765001154e-08
180,180.0,4.086196811533008e-08
181,181.0,4.1014613852889425e-08
182,182.0,4.116639661987876e-08
183,183.0,4.131742074195467e-08
184,184.0,4.146811592764922e-08
185,185.0,4.161849249552916e-08
186,186.0,4.1768065155814296e-08
187,187.0,4.19165216173382e-08
188,188.0,4.20643125372645e-08
189,189.0,4.2211448696792024e-08
190,190.0,4.23578760466823e-08
191,191.0,4.25034279634597e-08
192,192.0,4.26478705046844e-08
193,193.0,4.2791668764688246e-08
194,194.0,4.2934714180917e-08
195,195.0,4.30769515477715e-08
196,196.0,4.321869743221182e-08
197,197.0,4.335974390788794e-08
198,198.0,4.3500695315056385e-08
199,199.0,4.364173611795746e-08
200,200.0,4.37818775300751e-08
201,201.0,4.39209764304202e-08
202,202.0,4.405954063683718e-08
203,203.0,4.419767800536955e-08
204,204.0,4.433483896380764e-08
205,205.0,4.4470981857180785e-08
206,206.0,4.4607092920329176e-08
207,207.0,4.474303665272144e-08
208,208.0,4.4878161425666735e-08
209,209.0,4.501277641036578e-08
210,210.0,4.5146952680944264e-08
