0,0
1,4.26986950506775e-10
2,8.52265512229131e-10
3,1.27547806699642e-09
4,1.69589791340271e-09
5,2.11462869446644e-09
6,2.53198810124686e-09
7,2.94833941300138e-09
8,3.36357634065705e-09
9,3.77595780117545e-09
10,4.18510025700222e-09
11,4.59183356150172e-09
12,4.99643235149826e-09
13,5.40001768753265e-09
14,5.801409044037e-09
15,6.20056730749691e-09
16,6.59812771112926e-09
17,6.99304999844047e-09
18,7.38613321742106e-09
19,7.77765689878508e-09
20,8.16776491605388e-09
21,8.55563779727702e-09
22,8.9409766828669e-09
23,9.32461148374966e-09
24,9.70597226451715e-09
25,1.00850979558521e-08
26,1.04629431437494e-08
27,1.08388568308007e-08
28,1.12129640478841e-08
29,1.15859770067721e-08
30,1.19579503607231e-08
31,1.23287730852956e-08
32,1.26973144829051e-08
33,1.30633810542493e-08
34,1.34268612305588e-08
35,1.37872490917535e-08
36,1.41451080935949e-08
37,1.45009254463469e-08
38,1.48547861835054e-08
39,1.52068785266414e-08
40,1.55570550952812e-08
41,1.59052409182987e-08
42,1.62509288180817e-08
43,1.65941358922077e-08
44,1.6935239680493e-08
45,1.72748073348886e-08
46,1.7613252400198e-08
47,1.79491550914199e-08
48,1.8282979131086e-08
49,1.86148950677955e-08
50,1.89450616239951e-08
51,1.92735139610305e-08
52,1.95997459504426e-08
53,1.99254971685238e-08
54,2.02512410796542e-08
55,2.0575805886752e-08
56,2.08994594882397e-08
57,2.12230756652946e-08
58,2.15460665236854e-08
59,2.1867199240602e-08
60,2.21868954284599e-08
61,2.25060788040502e-08
62,2.28242126307406e-08
63,2.31411979664844e-08
64,2.34563490879034e-08
65,2.37690575881413e-08
66,2.40787039999805e-08
67,2.43852674567452e-08
68,2.46901316965296e-08
69,2.49938598058458e-08
70,2.52966717732695e-08
71,2.55986402471888e-08
72,2.58992183675673e-08
73,2.61983527328106e-08
74,2.64966059885964e-08
75,2.67936507099256e-08
76,2.70892844414697e-08
77,2.73837033751987e-08
78,2.76769806932466e-08
79,2.79694934409084e-08
80,2.82616155931819e-08
81,2.85508970681496e-08
82,2.88364427979013e-08
83,2.91201225588657e-08
84,2.94023516857111e-08
85,2.96843029752912e-08
86,2.99650484585583e-08
87,3.02441161225937e-08
88,3.05225926037599e-08
89,3.07999089989123e-08
90,3.10762540992642e-08
91,3.13513878310953e-08
92,3.16250031235257e-08
93,3.18970211907535e-08
94,3.21676981526604e-08
95,3.24377282995324e-08
96,3.27069510078448e-08
97,3.29751861071159e-08
98,3.32426802086321e-08
99,3.35091714902678e-08
100,3.37743473614466e-08
101,3.40380968579689e-08
102,3.43000274167809e-08
103,3.4560647843043e-08
104,3.48202326642574e-08
105,3.50785128625256e-08
106,3.5336019199396e-08
107,3.5592530340387e-08
108,3.58484050323441e-08
109,3.61033142576887e-08
110,3.63551033480843e-08
111,3.66045944945075e-08
112,3.68528894964516e-08
113,3.71003368368405e-08
114,3.73468661734824e-08
115,3.75925805721255e-08
116,3.78378261423082e-08
117,3.80822666800453e-08
118,3.83260077272657e-08
119,3.85692152669387e-08
120,3.88121407929478e-08
121,3.90550067579349e-08
122,3.92970755355715e-08
123,3.95373102807405e-08
124,3.97766323985528e-08
125,4.00150631580323e-08
126,4.02523817965593e-08
127,4.04892722787049e-08
128,4.07255605596261e-08
129,4.09613747631805e-08
130,4.11965674842835e-08
131,4.14308398705814e-08
132,4.16635905842459e-08
133,4.18951763538622e-08
134,4.21266201399411e-08
135,4.23575719847098e-08
136,4.25869908026721e-08
137,4.28143170713852e-08
138,4.30399400200782e-08
139,4.32634745081933e-08
140,4.3485345404644e-08
141,4.37060676277138e-08
142,4.39253509898286e-08
143,4.41441842707028e-08
144,4.43628621039967e-08
145,4.45805464092744e-08
146,4.47979399636229e-08
147,4.50147772696569e-08
148,4.52293111258613e-08
149,4.54415303494691e-08
150,4.56525744112442e-08
151,4.58618736526042e-08
152,4.60691379130669e-08
153,4.62760738060709e-08
154,4.64832833146736e-08
155,4.66904542067602e-08
156,4.68967126418409e-08
157,4.71016699208415e-08
158,4.7305575656125e-08
159,4.75089449168389e-08
160,4.77118781694584e-08
161,4.79140332742903e-08
162,4.81160884466684e-08
163,4.83187369558036e-08
164,4.85219100550073e-08
165,4.8724362042441e-08
166,4.89256764436625e-08
167,4.91261148238594e-08
168,4.93265388647698e-08
169,4.95262454451027e-08
170,4.97246881741167e-08
171,4.9923255773237e-08
172,5.01205227320821e-08
173,5.03164035641323e-08
174,5.05112961695814e-08
175,5.07060841896367e-08
176,5.09012770666228e-08
177,5.10952090037848e-08
178,5.12870338782748e-08
179,5.14765012142038e-08
180,5.16651942405182e-08
181,5.18542084357206e-08
182,5.20436285727391e-08
183,5.22327091343973e-08
184,5.24208794757485e-08
185,5.26092324976713e-08
186,5.27982162786118e-08
187,5.29867645448977e-08
188,5.31737320068496e-08
189,5.33597205710982e-08
190,5.35452393397934e-08
191,5.37303127663095e-08
192,5.39154790508569e-08
193,5.41001902897042e-08
194,5.42836098426541e-08
195,5.44654095803159e-08
196,5.46462106218103e-08
197,5.48266097748355e-08
198,5.50063069158902e-08
199,5.51846834887624e-08
200,5.53624969647839e-08
201,5.55403280023501e-08
202,5.57173047297358e-08
203,5.58934658476905e-08
204,5.60693276846704e-08
205,5.62449384989571e-08
206,5.64198474686949e-08
207,5.65935254749054e-08
208,5.67652412744012e-08
209,5.69366535501277e-08
210,5.7108828056357e-08
211,5.72810682098041e-08
212,5.74527335813952e-08
213,5.76230785215585e-08
214,5.77931482059979e-08
215,5.79632059218281e-08
216,5.81327397670653e-08
217,5.83013787812615e-08
218,5.84685869987347e-08
219,5.86350367374591e-08
220,5.88013750085173e-08
221,5.89674279937218e-08
222,5.91325288622096e-08
223,5.92967239600062e-08
224,5.94604833929759e-08
225,5.96239655154037e-08
226,5.97871830316696e-08
227,5.99492314393582e-08
228,6.01114439612454e-08
229,6.02738681679212e-08
230,6.04358474180959e-08
231,6.05986084558782e-08
232,6.07621135473005e-08
233,6.09259403582541e-08
234,6.1089508059843e-08
235,6.12528499063905e-08
236,6.14155251494142e-08
237,6.15772800318898e-08
238,6.17384334842045e-08
239,6.18990917473614e-08
240,6.20593972576242e-08
241,6.22199685960701e-08
242,6.23800386123832e-08
243,6.25385085187958e-08
244,6.26955528369265e-08
245,6.28510517803215e-08
246,6.30063716995149e-08
247,6.3162519331996e-08
248,6.33188523061212e-08
249,6.34748536468536e-08
250,6.36300646012673e-08
251,6.37844795947487e-08
252,6.39379416589259e-08
253,6.40905426910901e-08
254,6.42430370763322e-08
255,6.43954263956354e-08
256,6.45476230938237e-08
257,6.4700274151421e-08
258,6.48532026864287e-08
259,6.50046470584275e-08
260,6.51544402542313e-08
261,6.53032885248032e-08
262,6.54520855726532e-08
263,6.56010610661216e-08
264,6.57495376434648e-08
265,6.58975799420841e-08
266,6.60452515882376e-08
267,6.61926136519735e-08
268,6.63391269447859e-08
269,6.64825698597978e-08
270,6.66242079810066e-08
271,6.67665098660778e-08
272,6.6908941601461e-08
273,6.70509905657332e-08
274,6.71922573800942e-08
275,6.73324856002085e-08
276,6.74703648918092e-08
277,6.76070095674551e-08
278,6.77441963088955e-08
279,6.78814074646274e-08
280,6.8019128688465e-08
281,6.81573420841629e-08
282,6.82952535718671e-08
283,6.84324315886273e-08
284,6.85684103723088e-08
285,6.87031412453429e-08
286,6.88362645753146e-08
287,6.89689250566112e-08
288,6.91014300284568e-08
289,6.92326631050896e-08
290,6.93622091441614e-08
291,6.94909190258157e-08
292,6.96195901512055e-08
293,6.97476940765046e-08
294,6.98740352766849e-08
295,6.99989658664033e-08
296,7.01237388336551e-08
297,7.02486924774148e-08
298,7.03745729906103e-08
299,7.05007064893985e-08
300,7.06254995484755e-08
301,7.07484565881341e-08
302,7.08714262847845e-08
303,7.09951620073728e-08
304,7.11179696481726e-08
305,7.12394571454404e-08
306,7.13607838708224e-08
307,7.14821481966902e-08
308,7.16027593759643e-08
309,7.17232158299021e-08
310,7.1844026294203e-08
311,7.19636360767525e-08
312,7.20820759369905e-08
313,7.22002354609986e-08
314,7.23171690184933e-08
315,7.24325556251961e-08
316,7.25478332809865e-08
317,7.26636663505373e-08
318,7.27794698074603e-08
319,7.28952221119683e-08
320,7.30099784833167e-08
321,7.31235901436083e-08
322,7.32370126164759e-08
323,7.33501248458703e-08
324,7.34631871755326e-08
325,7.35765584502599e-08
326,7.3689375700043e-08
327,7.38013093927924e-08
328,7.3912875473381e-08
329,7.40243181904523e-08
330,7.4135170537793e-08
331,7.4245158553409e-08
332,7.43550072148345e-08
333,7.44650251378246e-08
334,7.45753312689768e-08
335,7.46858953047897e-08
336,7.47966820752323e-08
337,7.49074927395511e-08
338,7.50186042653384e-08
339,7.51301629316783e-08
340,7.52408700925122e-08
341,7.53507965612865e-08
342,7.54604027031093e-08
343,7.55696737995743e-08
344,7.56786182468295e-08
345,7.57862672934826e-08
346,7.58933756455613e-08
347,7.60002654407488e-08
348,7.61064451703511e-08
349,7.62123102167098e-08
350,7.63179877121132e-08
351,7.64241145460982e-08
352,7.65303066396957e-08
353,7.66355847582486e-08
354,7.6740548622509e-08
355,7.6846105942612e-08
356,7.6952598950793e-08
357,7.70589683890871e-08
358,7.71647430589313e-08
359,7.72704667043072e-08
360,7.73751449793579e-08
361,7.74788655607267e-08
362,7.75820437029989e-08
363,7.76848255366941e-08
364,7.7786734265953e-08
365,7.78874611197208e-08
366,7.79876707231153e-08
367,7.8087901576903e-08
368,7.81887957477511e-08
369,7.82896013593101e-08
370,7.83894159638011e-08
371,7.84881415950745e-08
372,7.85853279011604e-08
373,7.86810017736769e-08
374,7.87764990007045e-08
375,7.88714502910284e-08
376,7.89651251765435e-08
377,7.90578876249692e-08
378,7.91497837873919e-08
379,7.92407313181525e-08
380,7.93310436092987e-08
381,7.94206845478359e-08
382,7.95097949655794e-08
383,7.95989005227203e-08
384,7.96875777911393e-08
385,7.97746072878437e-08
386,7.98599599623497e-08
387,7.99450237277604e-08
388,8.00305670691592e-08
389,8.01163838950194e-08
390,8.02012005456641e-08
391,8.02849682242035e-08
392,8.03684072057086e-08
393,8.04507937746168e-08
394,8.05329153755901e-08
395,8.06160503139634e-08
396,8.07004681190461e-08
397,8.07857425108627e-08
398,8.08705580927203e-08
399,8.09551461890243e-08
400,8.10398820082807e-08
401,8.11236688082332e-08
402,8.12060724892702e-08
403,8.12882988465314e-08
404,8.13707729098757e-08
405,8.14532945970282e-08
406,8.15353500810553e-08
407,8.16172680049745e-08
408,8.16996385925432e-08
409,8.17821653117411e-08
410,8.18647628913235e-08
411,8.19463008725398e-08
412,8.20265771460736e-08
413,8.21068633087704e-08
414,8.21868807221022e-08
415,8.22661017307538e-08
416,8.23448411209134e-08
417,8.24232837990518e-08
418,8.25021963068857e-08
419,8.25811555945183e-08
420,8.26599349405438e-08
421,8.27386586604055e-08
422,8.2816482093276e-08
423,8.28937974189327e-08
424,8.29711375039815e-08
425,8.30480068361224e-08
426,8.31246154431974e-08
